First Funding date,Overview,Token Sale,Name
2024-03-14,https://cryptorank.io/price/bitrealms,https://cryptorank.io/ico/bitrealms,Bitrealms
2024-03-14,https://cryptorank.io/price/polyhedra-network#funding-rounds,https://cryptorank.io/ico/polyhedra-network#funding-rounds,Polyhedra Network
2024-03-13,https://cryptorank.io/price/edu-3-labs#funding-rounds,https://cryptorank.io/ico/edu-3-labs#funding-rounds,Edu 3 Labs
2024-03-13,https://cryptorank.io/price/orangedx#funding-rounds,https://cryptorank.io/ico/orangedx#funding-rounds,Orangedx
2024-03-13,https://cryptorank.io/price/uxlink,https://cryptorank.io/ico/uxlink,Uxlink
2024-03-13,https://cryptorank.io/price/demr#funding-rounds,https://cryptorank.io/ico/demr#funding-rounds,Demr
2024-03-13,https://cryptorank.io/price/fjord-foundry,https://cryptorank.io/ico/fjord-foundry,Fjord Foundry
2024-03-13,https://cryptorank.io/price/munchables,https://cryptorank.io/ico/munchables,Munchables
2024-03-13,https://cryptorank.io/price/cleartoken,https://cryptorank.io/ico/cleartoken,Cleartoken
2024-03-12,https://cryptorank.io/price/ivendpay#funding-rounds,https://cryptorank.io/ico/ivendpay#funding-rounds,Ivendpay
2024-03-12,https://cryptorank.io/price/asterix-labs,https://cryptorank.io/ico/asterix-labs,Asterix Labs
2024-03-12,https://cryptorank.io/price/ethernity-chain#funding-rounds,https://cryptorank.io/ico/ethernity-chain#funding-rounds,Ethernity Chain
2024-03-12,https://cryptorank.io/price/metal-core,https://cryptorank.io/ico/metal-core,Metal Core
2024-03-12,https://cryptorank.io/price/snowseed,https://cryptorank.io/ico/snowseed,Snowseed
2024-03-12,https://cryptorank.io/price/oneness,https://cryptorank.io/ico/oneness,Oneness
2024-03-12,https://cryptorank.io/price/certi-k#funding-rounds,https://cryptorank.io/ico/certi-k#funding-rounds,Certi K
2024-03-12,https://cryptorank.io/price/privasea#funding-rounds,https://cryptorank.io/ico/privasea#funding-rounds,Privasea
2024-03-12,https://cryptorank.io/price/solak-gpt#funding-rounds,https://cryptorank.io/ico/solak-gpt#funding-rounds,Solak Gpt
2024-03-12,https://cryptorank.io/price/metacene,https://cryptorank.io/ico/metacene,Metacene
2024-03-12,https://cryptorank.io/price/elixir-finance,https://cryptorank.io/ico/elixir-finance,Elixir Finance
2024-03-11,https://cryptorank.io/price/xlink-btc,https://cryptorank.io/ico/xlink-btc,Xlink Btc
2024-03-11,https://cryptorank.io/price/kaskade-finance,https://cryptorank.io/ico/kaskade-finance,Kaskade Finance
2024-03-11,https://cryptorank.io/price/blockus,https://cryptorank.io/ico/blockus,Blockus
2024-03-11,https://cryptorank.io/price/nft-fi,https://cryptorank.io/ico/nft-fi,Nft Fi
2024-03-11,https://cryptorank.io/price/eclipse-fnd,https://cryptorank.io/ico/eclipse-fnd,Eclipse Fnd
2024-03-11,https://cryptorank.io/price/bluwhale,https://cryptorank.io/ico/bluwhale,Bluwhale
2024-03-11,https://cryptorank.io/price/unisat,https://cryptorank.io/ico/unisat,Unisat
2024-03-09,https://cryptorank.io/price/dream-os,https://cryptorank.io/ico/dream-os,Dream Os
2024-03-08,https://cryptorank.io/price/optimism,https://cryptorank.io/ico/optimism,Optimism
2024-03-08,https://cryptorank.io/price/poolz-finance#funding-rounds,https://cryptorank.io/ico/poolz-finance#funding-rounds,Poolz Finance
2024-03-08,https://cryptorank.io/price/bitsmiley,https://cryptorank.io/ico/bitsmiley,Bitsmiley
2024-03-08,https://cryptorank.io/price/coti#funding-rounds,https://cryptorank.io/ico/coti#funding-rounds,Coti
2024-03-08,https://cryptorank.io/price/debox,https://cryptorank.io/ico/debox,Debox
2024-03-08,https://cryptorank.io/price/uxuy,https://cryptorank.io/ico/uxuy,Uxuy
2024-03-08,https://cryptorank.io/price/qna-3-ai,https://cryptorank.io/ico/qna-3-ai,Qna 3 Ai
2024-03-08,https://cryptorank.io/price/derivio,https://cryptorank.io/ico/derivio,Derivio
2024-03-08,https://cryptorank.io/price/cellula,https://cryptorank.io/ico/cellula,Cellula
2024-03-08,https://cryptorank.io/price/orionprotocol#funding-rounds,https://cryptorank.io/ico/orionprotocol#funding-rounds,Orionprotocol
2024-03-07,https://cryptorank.io/price/vrrb-labs,https://cryptorank.io/ico/vrrb-labs,Vrrb Labs
2024-03-07,https://cryptorank.io/price/crypto-slam,https://cryptorank.io/ico/crypto-slam,Crypto Slam
2024-03-07,https://cryptorank.io/price/beoble#funding-rounds,https://cryptorank.io/ico/beoble#funding-rounds,Beoble
2024-03-07,https://cryptorank.io/price/bison-network,https://cryptorank.io/ico/bison-network,Bison Network
2024-03-07,https://cryptorank.io/price/blackwing,https://cryptorank.io/ico/blackwing,Blackwing
2024-03-07,https://cryptorank.io/price/cosmology,https://cryptorank.io/ico/cosmology,Cosmology
2024-03-07,https://cryptorank.io/price/oyl,https://cryptorank.io/ico/oyl,Oyl
2024-03-07,https://cryptorank.io/price/zama,https://cryptorank.io/ico/zama,Zama
2024-03-06,https://cryptorank.io/price/kravata,https://cryptorank.io/ico/kravata,Kravata
