Name,Funding Details
Nyan-Heroes,"['Strategic\n14 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nMechanism Capital\nLead\nDelphi Digital\nSfermion\nKosmos Ventures\n+4', 'Strategic\n10 May 2022\nValuation\n$ 10M\nRaised\n$ 7.50M\nInvestors:\nShima Capital\nSino Global Capital\nPetRock Capital\nKosmos Ventures', 'Seed\n30 Oct 2021\nRaised\n$ 2.50M\nInvestors:\nMechanism Capital\nLead\nDeFiance Capital\nLead\nThree Arrows Capital\nLead\nSolana Ventures\n+4']"
Pallet,['Undisclosed\n14 Mar 2024\nRaised\n$ 2.50M\nInvestors:\nThe Spartan Group\nGBV Capital\ngmoney\nGabby Dizon\n+10']
Clique,"['Series A\n14 Mar 2024\nRaised\n$ 8.00M\nInvestors:\nPolychain Capital\nLead\nBalaji Srinivasan\nSandeep Nailwal\nRobot Ventures\n+16', 'Seed\n17 Oct 2022\nRaised\n$ 3.00M\nInvestors:\nInfinity Ventures Crypto\nMirana Ventures\nMask Network\nAlliance DAO\n+15']"
Bitrealms,[]
Polyhedra-Network,"['Undisclosed\n14 Mar 2024\nValuation\n$ 1B\nRaised\n$ 20.00M\nInvestors:\nPolychain Capital\nLead\nHashKey Capital\nAnimoca Brands\nLongHash Ventures\n+7', 'Series A\n9 Jan 2024\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Pre-Series A\n4 Apr 2023\nRaised\n$ 15.00M\nInvestors:\nPolychain Capital\nLead\nHashKey Capital\nKuCoin Ventures\nNGC Ventures\n+5', 'Strategic\n21 Feb 2023\nRaised\n$ 10.00M\nInvestors:\nPolychain Capital\nLead\nBinance Labs\nLead\nAnimoca Brands\ndao5']"
Edu-3-Labs,[]
Orangedx,['Undisclosed\n13 Mar 2024\nRaised\n$ 1.50M\nInvestors:\nGBV Capital\nx21 Digital\nOddiyana Ventures\nNxGen\n+1']
Uxlink,['Undisclosed\n13 Mar 2024\nRaised\n$ 9.00M\nInvestors:\nOKX Ventures\nKuCoin Ventures\nGate Labs\nUOB Venture\n+5']
Demr,"['Angel\n13 Mar 2024\nRaised\nN/A\nInvestors:\nKuCoin Labs\nDWF Labs\nPAKA\nRedline DAO\n+2', 'Strategic\n4 Jan 2024\nRaised\nN/A\nInvestors:\nKuCoin Labs']"
Fjord-Foundry,['Seed\n13 Mar 2024\nRaised\n$ 4.30M\nInvestors:\nLemniscap\nLead\nMechanism Capital\nZee Prime Capital\nCastle Capital\n+4']
Munchables,['Pre-Seed\n13 Mar 2024\nRaised\nN/A\nInvestors:\nMechanism Capital\nLead\nManifold\nLead\nSelini Capital\nDuplicate Capital\n+6']
Cleartoken,['Seed\n13 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nGSR\nFlow Traders\nLaser Digital\nZodia Custody\n+1']
Ivendpay,['Undisclosed\n12 Mar 2024\nRaised\nN/A\nInvestors:\nDanu Ventures']
Asterix-Labs,"['Strategic\n20 Mar 2024\nRaised\nN/A\nInvestors:\nHashed Fund\nEverest Ventures\nMomentum 6\nArcane Group\n+5', 'Strategic\n12 Mar 2024\nRaised\nN/A\nInvestors:\nKevin Lin\nSpirit DAO\ndingaling\nRay Chan\n+2']"
Ethernity-Chain,"['Undisclosed\n12 Mar 2024\nRaised\nN/A\nInvestors:\nMorningstar Ventures', 'Seed\n10 Feb 2022\nRaised\n$ 20.00M\nInvestors:\nMorningstar Ventures\nKenetic Capital\nPolygon Studios\nRipple\n+6', 'Strategic\n18 Feb 2021\nRaised\nN/A\nInvestors:\nMorningstar Ventures\nGBV Capital\nSpark Digital Capital\nBlackEdge Capital\n+1']"
Metal-Core,[]
Snowseed,['Strategic\n12 Mar 2024\nRaised\n$ 5.00M\nInvestors:\nMedi Crypto International\nBuckingham']
Oneness,['Seed\n12 Mar 2024\nRaised\n$ 4.00M\nInvestors:\nFineWill Capital']
Certi-K,[]
Privasea,"['Strategic\n4 Apr 2024\nRaised\nN/A\nInvestors:\nOKX Ventures\nLaser Digital\nTané', 'Strategic\n12 Mar 2024\nRaised\nN/A\nInvestors:\nDanu Ventures', 'Seed\n4 Mar 2024\nRaised\n$ 5.00M\nInvestors:\nBinance Labs\nMH Ventures\nBasics Capital\nGate Labs\n+6']"
Solak-Gpt,[]
Metacene,"['Series A\n12 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nThe Spartan Group\nAnimoca Brands\nSevenX Ventures\nFolius Ventures\n+4', 'Seed\n14 Jul 2023\nRaised\n$ 5.00M\nInvestors:\nSevenX Ventures\nLead\nHash Global\nLead\nEmurgo\nWemade\n+3']"
Elixir-Finance,"['Series B\n12 Mar 2024\nValuation\n$ 800M\nRaised\n$ 8.00M\nInvestors:\nMaelstrom\nLead\nMysten Labs\nLead\nAmber Group\nArthur Hayes\n+3', 'Series A\n18 Oct 2023\nValuation\n$ 100M\nRaised\n$ 7.50M\nInvestors:\nHack VC\nLead\nNGC Ventures\nBloccelerate\nAngelList', 'Seed\n17 Jan 2023\nRaised\n$ 2.10M\nInvestors:\nInception capital\nChapter One\nFalconX\nBitMEX']"
Xlink-Btc,['Undisclosed\n11 Mar 2024\nRaised\nN/A\nInvestors:\nKuCoin Ventures\nForesight Ventures\nKyros Ventures\nGate Labs\n+9']
Kaskade-Finance,['Pre-Seed\n11 Mar 2024\nRaised\nN/A\nInvestors:\nMarshland Capital\nNxGen\nAndromeda Capital\nHercules DAO\n+6']
Blockus,['Pre-Seed\n11 Mar 2024\nRaised\n$ 4.00M\nInvestors:\nMaple VC\nLead\nBryan Pellegrino\nAltos Ventures\nZhuoxun Yin\n+1']
Nft-Fi,"['Series A\n11 Mar 2024\nRaised\n$ 6.00M\nInvestors:\nPlaceholder Ventures\nLead\nMaven 11 Capital\nLaunch Lab\nKahuna Ventures', 'Seed\n16 Nov 2021\nRaised\n$ 5.00M\nInvestors:\n1kx\nLead\nMaven 11 Capital\nScalar Capital\nSound Ventures\n+1', 'Seed\n25 Feb 2021\nRaised\n$ 890.00K\nInvestors:\nAnimoca Brands\nMaven 11 Capital\n1kx\nCoinFund\n+2']"
Eclipse-Fnd,"['Series A\n11 Mar 2024\nRaised\n$ 50.00M\nInvestors:\nHack VC\nLead\nPlaceholder Ventures\nLead\nPolychain Capital\nDelphi Digital\n+3', 'Pre-Seed\n27 Sep 2022\nRaised\n$ 6.00M\nInvestors:\nPolychain Capital\nLead\nPolygon Ventures\nTribe Capital\nAccel\n+3', 'Seed\n27 Sep 2022\nRaised\n$ 9.00M\nInvestors:\nTribe Capital\nLead\nTabiya\nLead\nInfinity Ventures Crypto\nCoinList\n+2']"
Bluwhale,['Seed\n11 Mar 2024\nRaised\n$ 7.00M\nInvestors:\nSBI Investment\nLead\nAnimoca Brands\ngumi Cryptos\nGHAF Capital Partners\n+8']
Unisat,"['Strategic\n11 Mar 2024\nRaised\nN/A\nInvestors:\nCGV FoF', 'Pre-Series A\n9 Feb 2024\nRaised\nN/A\nInvestors:\nOKX Ventures\nABCDE\nVitalbridge Capital', 'Strategic\n30 Nov 2023\nRaised\nN/A\nInvestors:\nLK Venture']"
Dream-Os,['Seed\n9 Mar 2024\nRaised\n$ 2.10M\nInvestors:\nArca\nLead\nPolygon Ventures\nHack VC\nMantle\n+6']
Optimism,"['OTC Purchase\n8 Mar 2024\nRaised\n$ 89.00M\nInvestors:\nN/A', 'Series B\n17 Mar 2022\nRaised\n$ 150.00M\nInvestors:\nAndreessen Horowitz (a16z)\nParadigm', 'Series A\n24 Feb 2021\nRaised\n$ 25.00M\nInvestors:\nAndreessen Horowitz (a16z)\nLead\nParadigm\nIDEO CoLab Ventures', 'Seed\n15 Dec 2020\nRaised\n$ 3.50M\nInvestors:\nParadigm\nIDEO CoLab Ventures']"
Poolz-Finance,['Strategic\n8 Mar 2024\nRaised\nN/A\nInvestors:\nGotbit']
Bitsmiley,"['Strategic\n8 Mar 2024\nRaised\nN/A\nInvestors:\nSatoshiLab', 'Strategic\n4 Mar 2024\nRaised\nN/A\nInvestors:\nKuCoin Ventures', 'Undisclosed\n28 Jan 2024\nRaised\nN/A\nInvestors:\nOKX Ventures\nLead\nABCDE\nLead\nCMS Holdings\nWaterdrip Capital\n+9']"
Coti,['Strategic\n8 Mar 2024\nRaised\nN/A\nInvestors:\nMorningstar Ventures']
Debox,[]
Uxuy,"['Undisclosed\n8 Mar 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Undisclosed\n21 Aug 2023\nRaised\nN/A\nInvestors:\nMEXC', 'Seed\n11 Apr 2023\nRaised\n$ 3.20M\nInvestors:\nKuCoin Ventures\nWaterdrip Capital\nBixin Ventures\nArcane Group\n+4']"
Qna-3-Ai,"['Grant\n21 Mar 2024\nRaised\nN/A\nInvestors:\nSolana Foundation', 'Undisclosed\n8 Mar 2024\nRaised\nN/A\nInvestors:\nBinance Labs']"
Derivio,['Undisclosed\n8 Mar 2024\nRaised\nN/A\nInvestors:\nBinance Labs']
Cellula,"['Pre-Seed\n5 Apr 2024\nRaised\n$ 2.00M\nInvestors:\nOKX Ventures\nLead\nSevenX Ventures\nLead\nMask Network\nForesight Ventures', 'Undisclosed\n8 Mar 2024\nRaised\nN/A\nInvestors:\nBinance Labs']"
Orionprotocol,[]
Vrrb-Labs,"['Undisclosed\n7 Mar 2024\nRaised\nN/A\nInvestors:\nLBank', 'Seed\n6 Dec 2023\nValuation\n$ 50M\nRaised\n$ 2.30M\nInvestors:\nRepublic\nNGC Ventures\nHyperithm', 'Pre-Seed\n8 Feb 2023\nValuation\n$ 20M\nRaised\n$ 1.40M\nInvestors:\nJump Crypto\nBig Brain Holdings\nTaureon Capital']"
Crypto-Slam,[]
Beoble,"['Strategic\n7 Mar 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands', 'Seed\n19 Feb 2024\nRaised\n$ 5.00M\nPrice:\n$ 0.035\nROI:\n1.52x  +52%\nInvestors:\nHashKey Capital\n+10\nATH ROI:\n13.16x  +1,216%', 'Strategic\n15 Jan 2024\nRaised\nN/A\nInvestors:\nDWF Labs', 'Pre-Seed\n15 Nov 2023\nRaised\n$ 2.00M\nPrice:\n$ 0.015\nROI:\n3.55x  +254.6%\nInvestors:\nHashKey Capital\n+5\nATH ROI:\n30.71x  +2,971%']"
Bison-Network,[]
Blackwing,['Strategic\n7 Mar 2024\nRaised\n$ 4.50M\nInvestors:\nHashed Fund\nLead\ngumi Cryptos\nLead\nAptos\nArche Fund\n+11']
Cosmology,[]
Oyl,['Pre-Seed\n7 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nArca\nLead\nMask Network\nArthur Hayes\nBorderless Capital\n+20']
Zama,[]
Kravata,['Seed\n6 Mar 2024\nRaised\n$ 3.60M\nInvestors:\nFramework Ventures\nVolt Capital\nMagma Partners\nCircle Ventures\n+1']
Sx-Network-New,[]
Toncoin,"['Undisclosed\n6 Mar 2024\nRaised\n$ 8.00M\nInvestors:\nMirana Ventures', 'Undisclosed\n1 Dec 2023\nRaised\nN/A\nInvestors:\nKuCoin Ventures', 'Undisclosed\n28 Nov 2023\nRaised\nN/A\nInvestors:\nAnimoca Brands', 'Undisclosed\n4 Oct 2023\nRaised\nN/A\nInvestors:\nMEXC', 'Undisclosed\n16 May 2023\nRaised\nN/A\nInvestors:\nMask Network', 'Undisclosed\n17 Nov 2022\nRaised\n$ 10.00M\nInvestors:\nDWF Labs\nLead', 'Undisclosed\n6 Apr 2021\nRaised\n$ 6.00M\nInvestors:\nRuna Capital\nLead']"
Synnax-Technologies,[]
Hedgehog-Protocol,['Pre-Seed\n6 Mar 2024\nRaised\n$ 1.50M\nInvestors:\nZBS CAPITAL\n3Commas\nMarshland Capital\nTenzor Capital\n+12']
Firewall,['Pre-Seed\n6 Mar 2024\nRaised\n$ 3.70M\nInvestors:\nHack VC\nLead\nNorth Island Ventures\nLead\nBreyer Capital\nLead\nKain Warwick\n+7']
Io-Net,['Series A\n5 Mar 2024\nRaised\n$ 30.00M\nInvestors:\nHack VC\nLead\nMulticoin Capital\nDelphi Digital\nAnimoca Brands\n+20']
Utila,['Seed\n5 Mar 2024\nRaised\n$ 11.50M\nInvestors:\nBalaji Srinivasan\nDigital Currency Group (DCG)\nShima Capital\nFramework Ventures\n+18']
Sahara,['Seed\n5 Mar 2024\nRaised\n$ 6.00M\nInvestors:\nPolychain Capital\nLead\nSequoia Capital\nSamsungNext\nAlumni Ventures Group\n+9']
Tokenfi,['Undisclosed\n5 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nDWF Labs']
Taproot-Labs,"['Undisclosed\n28 Mar 2024\nRaised\nN/A\nInvestors:\nNegentropy Capital\nLead\nBitValue Capital\nHussein Family Office\nDigital Pacific Holding', 'Undisclosed\n5 Mar 2024\nRaised\nN/A\nInvestors:\nWaterdrip Capital\nNegentropy Capital\nSatoshiLab']"
Baanx,['Series A\n5 Mar 2024\nRaised\n$ 20.00M\nInvestors:\nTezos Foundation\nLead\nLedger Capital\nLead\nChiron Partners\nBritish Business Bank']
Bouncebit,"['Strategic\n11 Apr 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Strategic\n5 Mar 2024\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Seed\n28 Feb 2024\nRaised\n$ 6.00M\nInvestors:\nBlockchain Capital\nLead\nBreyer Capital\nLead\nOKX Ventures\nCMS Holdings\n+21']"
Mirrorl-2,['Seed\n4 Mar 2024\nRaised\nN/A\nInvestors:\nUTXO Management\nBitcoin Magazine\nConflux Foundation\nIMO Ventures']
Stack-Co,['Seed\n4 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nArchetype Ventures\nLead\nCoinbase Ventures\nBalaji Srinivasan\na_capital\n+7']
Privasea,"['Strategic\n4 Apr 2024\nRaised\nN/A\nInvestors:\nOKX Ventures\nLaser Digital\nTané', 'Strategic\n12 Mar 2024\nRaised\nN/A\nInvestors:\nDanu Ventures', 'Seed\n4 Mar 2024\nRaised\n$ 5.00M\nInvestors:\nBinance Labs\nMH Ventures\nBasics Capital\nGate Labs\n+6']"
Bitsmiley,"['Strategic\n8 Mar 2024\nRaised\nN/A\nInvestors:\nSatoshiLab', 'Strategic\n4 Mar 2024\nRaised\nN/A\nInvestors:\nKuCoin Ventures', 'Undisclosed\n28 Jan 2024\nRaised\nN/A\nInvestors:\nOKX Ventures\nLead\nABCDE\nLead\nCMS Holdings\nWaterdrip Capital\n+9']"
Chronoforge,['Strategic\n2 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nSwissBorg Ventures\nMH Ventures\nGHAF Capital Partners\nContango Digital Assets\n+15']
Credshields,['Strategic\n2 Mar 2024\nRaised\n$ 1.00M\nInvestors:\nDraper Associates']
Taikoxyz,"['Series A\n2 Mar 2024\nRaised\n$ 15.00M\nInvestors:\nHashed Fund\nLead\nLightspeed Venture Partners\nLead\nToken Bay Capital\nLead\nGenerative Ventures\n+7', 'Undisclosed\n8 Jun 2023\nRaised\n$ 22.00M\nInvestors:\nHongShan (ex-Sequoia China)\nLead\nGenerative Ventures\nLead\nOKX Ventures\nIOSG Ventures\n+11', 'Undisclosed\n14 Apr 2023\nRaised\nN/A\nInvestors:\nSkyland Ventures']"
Zest-Protocol,['Pre-Seed\n1 Mar 2024\nRaised\nN/A\nInvestors:\nYoubi Capital\nLead']
Karma-3-Labs,['Seed\n1 Mar 2024\nRaised\n$ 4.50M\nInvestors:\nGalaxy\nLead\nIDEO CoLab Ventures\nLead\nHashKey Capital\nThe Spartan Group\n+8']
Name,Funding Details
Orbit-Protocol,['Undisclosed\n1 Mar 2024\nRaised\nN/A\nInvestors:\nGBV Capital\nManifold\nDefiSquared\nAndrew Kang\n+2']
Imaginary-Ones,['Undisclosed\n29 Feb 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands\nSebastien Borget\nMH Ventures\nCypher Capital\n+8']
Silence-Laboratories,"['Undisclosed\n29 Feb 2024\nRaised\n$ 4.10M\nInvestors:\nPi Ventures\nLead\nKira Studio', 'Seed\n31 Aug 2022\nRaised\n$ 1.70M\nInvestors:\nPi Ventures\nLead\nimToken Ventures\nPriyeshu Garg\nMahin Gupta\n+3']"
Linkto,['Undisclosed\n29 Feb 2024\nRaised\nN/A\nInvestors:\nAdaverse\nRuby Capital\nBitValue Capital\nBlock Infinity Limited\n+1']
Cetus-Protocol,"['Strategic\n29 Feb 2024\nRaised\nN/A\nInvestors:\nSui Foundation', 'Seed\n2 May 2023\nRaised\nN/A\nInvestors:\nOKX Ventures\nLead\nKuCoin Ventures\nLead\nAnimoca Brands\nJump Crypto\n+7']"
Octav,"['Strategic\n28 Feb 2024\nRaised\n$ 4.00M\nInvestors:\nN/A', 'Seed\n12 Sep 2023\nRaised\n$ 2.65M\nInvestors:\nNascent\n0xMaki\nSpeedinvest\nPolymorphic Capital\n+15']"
Integral-Xyz,"['Angel\n16 Apr 2024\nRaised\nN/A\nInvestors:\nBryan Pellegrino\nRaj Gokal\nWill Papper\nHenri Stern\n+5', 'Undisclosed\n28 Feb 2024\nRaised\nN/A\nInvestors:\nFranklin Templeton Investments', 'Strategic\n24 Oct 2023\nRaised\nN/A\nInvestors:\nCoinbase Ventures', 'Undisclosed\n20 Sep 2022\nRaised\n$ 8.50M\nInvestors:\nElectric Capital\nLead\nBalaji Srinivasan\nElad Gil\nHustle Fund\n+12']"
Mxc,['Undisclosed\n28 Feb 2024\nRaised\n$ 10.00M\nInvestors:\nJDI Venture']
Contributiondao,['Seed\n28 Feb 2024\nRaised\n$ 2.80M\nInvestors:\nGuildFi\nAxelar Network\nAgnostic Fund\nKX\n+4']
Bouncebit,"['Strategic\n11 Apr 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Strategic\n5 Mar 2024\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Seed\n28 Feb 2024\nRaised\n$ 6.00M\nInvestors:\nBlockchain Capital\nLead\nBreyer Capital\nLead\nOKX Ventures\nCMS Holdings\n+21']"
Co-Museum,['Undisclosed\n28 Feb 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands']
Ready-Games-Network,"['Undisclosed\n28 Feb 2024\nRaised\n$ 4.00M\nInvestors:\nDelphi Digital\nMerit Circle\nToken Metrics\nMomentum 6\n+3', 'Private Token Sale\n6 May 2022\nRaised\n$ 3.00M\nInvestors:\nBitkraft Ventures\nLead\nThe Spartan Group\nHashed Fund\nPolygon Ventures\n+10']"
Ether-Fi,"['Series A\n28 Feb 2024\nRaised\n$ 27.00M\nInvestors:\nCoinFund\nLead\nBullish\nLead\nConsenSys\nArrington XRP Capital\n+22', 'Undisclosed\n28 Feb 2023\nRaised\n$ 5.30M\nInvestors:\nChapter One\nLead\nNorth Island Ventures\nLead\nArrington XRP Capital\nMaelstrom\n+3']"
Coral,[]
Morpho,"['Undisclosed\n28 Feb 2024\nRaised\nN/A\nInvestors:\nPantera Capital', 'Extended Seed\n12 Jul 2022\nRaised\n$ 18.00M\nInvestors:\nAndreessen Horowitz (a16z)\nLead\nVariant\nLead\nCoinbase Ventures\nNascent\n+18', 'Seed\n22 Oct 2021\nRaised\n$ 1.35M\nInvestors:\nNascent\nLead\nSemantic Ventures\nLead\nFaculty Group\nAngelDAO\n+3']"
Humanity-Protocol,['Strategic\n28 Feb 2024\nRaised\nN/A\nInvestors:\nHashed Fund\nMechanism Capital\nSandeep Nailwal\nForesight Ventures\n+3']
Sphere-Labs,['Seed\n27 Feb 2024\nRaised\n$ 2.80M\nInvestors:\nJump Crypto\nLead\nTCG Crypto\nLead\nSolana Ventures\nRepublic\n+10']
Qed-Protocol,['Undisclosed\n27 Feb 2024\nRaised\n$ 3.00M\nInvestors:\nArrington XRP Capital\nLead\nDraper Dragon\nValhalla Capital\nStarkWare\n+4']
Geodnet,"['Strategic\n16 Apr 2024\nRaised\n$ 2.00M\nInvestors:\nPantera Capital\nCoinFund\nSantiago R. Santos\nVanEck', 'Undisclosed\n27 Feb 2024\nRaised\n$ 3.50M\nInvestors:\nNorth Island Ventures\nLead\nIoTeX\nReverie\nBorderless Capital\n+4', 'Private Token Sale\n6 Jul 2023\nRaised\n$ 1.50M\nInvestors:\nBorderless Capital\nLead\nIoTeX']"
Fair-Math,['Pre-Seed\n27 Feb 2024\nRaised\n$ 1.40M\nInvestors:\ngumi Cryptos\nLead\nInception capital\nLead\nPolymorphic Capital\nLead']
Arkis,['Pre-Seed\n27 Feb 2024\nRaised\n$ 2.25M\nInvestors:\ngumi Cryptos\nLead\nG1 Ventures\nPsalion VC\nRoosh Ventures']
Validation-Cloud,['Undisclosed\n27 Feb 2024\nRaised\n$ 5.80M\nInvestors:\nCadenza Ventures\nLead\nBlockchain Founders Fund\nSide Door Ventures\nBloccelerate\n+3']
Cycle-Network,['Undisclosed\n27 Feb 2024\nRaised\nN/A\nInvestors:\nVertex Ventures\nLead\nSummer Ventures\nLead\nGSG | Great South Gate\nSuperChain Capital\n+2']
Bitbrawl,['Seed\n27 Feb 2024\nRaised\n$ 3.00M\nPrice:\n$ 0.0015\nROI:\n0.87x  -13.2%\nInvestors:\nShima Capital\n+2\nATH ROI:\n9.73x  +872.9%']
Initia,"['Seed\n27 Feb 2024\nRaised\n$ 7.50M\nInvestors:\nDelphi Digital\nLead\nHack VC\nLead\nNascent\nBig Brain Holdings\n+8', 'Undisclosed\n12 Oct 2023\nRaised\nN/A\nInvestors:\nBinance Labs']"
Babylon-Chain,"['Undisclosed\n27 Feb 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Series A\n7 Dec 2023\nRaised\n$ 18.00M\nInvestors:\nPolychain Capital\nLead\nHack VC\nLead\nOKX Ventures\nPolygon Ventures\n+16', 'Seed\n10 Mar 2023\nRaised\n$ 8.00M\nInvestors:\nBreyer Capital\nLead\nIDG Capital\nLead']"
Buildbear,['Undisclosed\n27 Feb 2024\nRaised\n$ 1.90M\nInvestors:\n1kx\nTribe Capital\nSuperscrypt\nPlug and Play\n+1']
Play-Makers,['Pre-Seed\n26 Feb 2024\nRaised\n$ 1.50M\nInvestors:\nRockawayX\nLead\nSebastien Borget\nVincent Hart de Keating\nHugues Ouvard']
Aerodrome,['Undisclosed\n26 Feb 2024\nRaised\nN/A\nInvestors:\nBase Ecosystem Fund']
Saturn,"['Undisclosed\n26 Feb 2024\nRaised\n$ 800.00K\nInvestors:\nSora Ventures\nLead\nCMS Holdings\nSilvermine\nOsprey Funds\n+4', 'Pre-Seed\n29 Nov 2023\nRaised\n$ 500.00K\nInvestors:\nBig Brain Holdings\nLead\nUTXO Management\nBOOGLE\nKelsier']"
Talus-Network,['Undisclosed\n26 Feb 2024\nRaised\n$ 3.00M\nInvestors:\nPolychain Capital\nLead\nTRGC\nInception capital\ndao5\n+2']
Xpla,"['Undisclosed\n26 Feb 2024\nRaised\nN/A\nInvestors:\nTess Ventures', 'Strategic\n22 Jun 2023\nRaised\nN/A\nInvestors:\nInfinity Ventures Crypto\nBig Brain Holdings\nPlay Ventures']"
5Ire,"['Undisclosed\n26 Feb 2024\nRaised\nN/A\nInvestors:\nGotbit', 'Undisclosed\n15 Feb 2022\nRaised\n$ 100.00M\nInvestors:\nGEM Digital', 'Seed\n1 Aug 2021\nValuation\n$ 110M\nRaised\n$ 21.00M\nInvestors:\nMoonrock Capital\nMarshland Capital\nLaunchpool']"
Avail,['Seed\n26 Feb 2024\nRaised\n$ 27.00M\nInvestors:\nDragonFly Capital\nLead\nFounders Fund\nLead\nBalaji Srinivasan\nSevenX Ventures\n+10']
Delphinus-Lab,"['Pre-Series A\n26 Feb 2024\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Undisclosed\n21 Aug 2023\nRaised\nN/A\nInvestors:\nBinance Labs']"
Fortytwo,['Strategic\n24 Feb 2024\nRaised\nN/A\nInvestors:\nLBank\nLead\nLongHash Ventures\nScott Moore\nDoraHacks\n+4']
Hackquest,['Pre-Seed\n24 Feb 2024\nRaised\n$ 1.10M\nInvestors:\nHashKey Capital\nOutlier Ventures\nHash Global\nScott Moore\n+4']
Shuffle-Com,['Undisclosed\n23 Feb 2024\nRaised\n$ 2.50M\nInvestors:\nCypher Capital\nBaboon VC\nUpside\nPARC Capital\n+9']
Flare,"['Undisclosed\n23 Feb 2024\nRaised\n$ 35.00M\nInvestors:\nKenetic Capital\nAves Lair', 'Undisclosed\n8 Jun 2021\nRaised\n$ 11.30M\nInvestors:\nKenetic Capital\nLead\nDigital Currency Group (DCG)\nLD Capital\nCoinFund\n+9', 'Strategic\n6 Nov 2019\nRaised\nN/A\nInvestors:\nXpring Capital\nLead']"
Ox-Fun,['Undisclosed\n23 Feb 2024\nRaised\n$ 4.00M\nInvestors:\nForesight Ventures\nLead\nGenblock Capital\nDouble Peak\nEmchain']
Januar,"['Extended Seed\n22 Feb 2024\nRaised\n$ 1.62M\nInvestors:\nCMT Digital\nThird Prime\nSkyfall Ventures\nMichael Gronager', 'Seed\n6 May 2022\nRaised\n$ 6.30M\nInvestors:\nElement Ventures\nLead\nbyFounders\nLead\nAngular Ventures\nLead\nOutward VC\n+5']"
Superfluid,"['Undisclosed\n22 Feb 2024\nRaised\n$ 5.10M\nInvestors:\nFabric Ventures\nLead\nMulticoin Capital\nCircle\nThe LAO\n+11', 'Seed\n13 Jul 2021\nRaised\n$ 9.00M\nInvestors:\nMulticoin Capital\nLead\nBalaji Srinivasan\nDelphi Digital\nThe LAO\n+30']"
Portal-Gate,"['Undisclosed\n22 Feb 2024\nRaised\n$ 2.20M\nInvestors:\ngumi Cryptos\nLead\nApollo Capital\nDigital Asset Capital Management (DACM)\nLaser Digital\n+2', 'Seed\n20 Jun 2023\nRaised\n$ 1.10M\nInvestors:\nApollo Capital\nLead\nComma3 Ventures\nCluster Capital\nUpside\n+4']"
Clave,"['Pre-Seed\n22 Feb 2024\nRaised\n$ 1.60M\nInvestors:\nMatter Labs\nLead\nMirana Ventures\nSafe\nLambdaClass\n+4', 'Grant\n6 Sep 2023\nRaised\nN/A\nInvestors:\nEthereum Foundation']"
Renzo-Protocol,"['Undisclosed\n22 Feb 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Seed\n15 Jan 2024\nValuation\n$ 25M\nRaised\n$ 3.20M\nInvestors:\nMaven 11 Capital\nLead\nOKX Ventures\nIOSG Ventures\nBitscale Capital\n+10']"
Eigenlayer,"['Undisclosed\n22 Feb 2024\nRaised\n$ 100.00M\nInvestors:\nAndreessen Horowitz (a16z)', 'Series A\n28 Mar 2023\nValuation\n$ 500M\nRaised\n$ 50.00M\nInvestors:\nBlockchain Capital\nLead\nPolychain Capital\nCoinbase Ventures\nElectric Capital\n+1', 'Seed\n22 Aug 2022\nRaised\n$ 14.50M\nInvestors:\nPolychain Capital\nLead\nEthereal Ventures\nLead\nRobot Ventures\nFigment Capital\n+2']"
Helius,"['Series A\n22 Feb 2024\nRaised\n$ 9.50M\nInvestors:\nFoundation Capital\nLead\nBalaji Srinivasan\n6th Man Ventures\nChapter One\n+5', 'Seed\n19 Oct 2022\nRaised\n$ 3.10M\nInvestors:\nChapter One\nLead\nReciprocal Ventures\nLead\nSolana Ventures\nAlchemy\n+3']"
Honeypot-Finance,"['Seed\n15 Mar 2024\nRaised\nN/A\nInvestors:\nCandaq\nDEXT Force Ventures\nPudgy Alpha\nSANYUAN Labs', 'Pre-Seed\n22 Feb 2024\nRaised\nN/A\nInvestors:\nAC Capital\nLead\nDEXT Force Ventures']"
Nodeshift,['Seed\n21 Feb 2024\nRaised\n$ 3.20M\nInvestors:\nInovo.vc\nLead\nEpic Games\nNotion Capital\n10x Founders\n+1']
Prometeus,['Undisclosed\n21 Feb 2024\nRaised\nN/A\nInvestors:\nDWF Labs']
